ci_high,ci_low,ci_width,mean,metric,metric_rank,n,n_capability,n_safety,policy
0.0,0.0,0.0,0.0,capability,0,1300,,,policy_pinned__budget128__sink8
0.014464114175929736,0.005489227391244682,0.008974886784685054,0.010100178399890214,safety,1,5205,,,policy_pinned__budget128__sink8
0.014519006449842184,0.005599011939069575,0.008919994510772609,0.010100178399890214,ssei,2,,1300,5205,policy_pinned__budget128__sink8
-0.0015384615384615385,-0.008461538461538461,0.006923076923076922,-0.004615384615384616,capability,0,1300,,,random_matched__budget128__seed991
0.01995334156717442,0.010841224097708248,0.009112117469466174,0.015314944421572664,safety,1,5205,,,random_matched__budget128__seed991
0.02586165035732759,0.014082823996368666,0.011778826360958925,0.01993032903695728,ssei,2,,1300,5205,random_matched__budget128__seed991
0.0,0.0,0.0,0.0,capability,0,1300,,,sink_recent__budget128__sink8
-0.0013997529847673928,-0.00924934815424729,0.007849595169479896,-0.005187319884726224,safety,1,5205,,,sink_recent__budget128__sink8
-0.0012076300260738296,-0.00941402497598463,0.0082063949499108,-0.005187319884726224,ssei,2,,1300,5205,sink_recent__budget128__sink8
-0.0015384615384615385,-0.01,0.008461538461538461,-0.005384615384615384,capability,0,1300,,,sliding_window__budget128
0.09400301907506518,0.0790174282969672,0.014985590778097982,0.0864004391381913,safety,1,5205,,,sliding_window__budget128
0.10106332668292323,0.08325152273279075,0.017811803950132474,0.09178505452280669,ssei,2,,1300,5205,sliding_window__budget128
0.0,-0.002307692307692308,0.002307692307692308,-0.0007692307692307692,capability,0,1300,,,user_pinned__budget128__sink8
0.0008233841086867038,-0.006916426512968299,0.007739810621655002,-0.0029916289282283506,safety,1,5205,,,user_pinned__budget128__sink8
0.0017595085030243547,-0.0063385797679745785,0.008098088270998933,-0.002222398158997581,ssei,2,,1300,5205,user_pinned__budget128__sink8
